sample_key,source,source_split,output_split,sample_id,image_path,mask_path,non_ignore_ratio
rellis3d/00000/frame000000-1581624652_750,rellis3d,train,train,00000/frame000000-1581624652_750,images/rellis3d/00000/frame000000-1581624652_750.jpg,masks/rellis3d/00000/frame000000-1581624652_750.png,1.00000000
rellis3d/00000/frame000002-1581624652_949,rellis3d,train,train,00000/frame000002-1581624652_949,images/rellis3d/00000/frame000002-1581624652_949.jpg,masks/rellis3d/00000/frame000002-1581624652_949.png,1.00000000
rellis3d/00000/frame000004-1581624653_150,rellis3d,train,train,00000/frame000004-1581624653_150,images/rellis3d/00000/frame000004-1581624653_150.jpg,masks/rellis3d/00000/frame000004-1581624653_150.png,1.00000000
rellis3d/00000/frame000006-1581624653_349,rellis3d,train,train,00000/frame000006-1581624653_349,images/rellis3d/00000/frame000006-1581624653_349.jpg,masks/rellis3d/00000/frame000006-1581624653_349.png,1.00000000
rellis3d/00000/frame000008-1581624653_549,rellis3d,train,train,00000/frame000008-1581624653_549,images/rellis3d/00000/frame000008-1581624653_549.jpg,masks/rellis3d/00000/frame000008-1581624653_549.png,1.00000000
rellis3d/00000/frame000010-1581624653_749,rellis3d,train,train,00000/frame000010-1581624653_749,images/rellis3d/00000/frame000010-1581624653_749.jpg,masks/rellis3d/00000/frame000010-1581624653_749.png,1.00000000
rellis3d/00000/frame000012-1581624653_949,rellis3d,train,train,00000/frame000012-1581624653_949,images/rellis3d/00000/frame000012-1581624653_949.jpg,masks/rellis3d/00000/frame000012-1581624653_949.png,1.00000000
rellis3d/00000/frame000014-1581624654_149,rellis3d,train,train,00000/frame000014-1581624654_149,images/rellis3d/00000/frame000014-1581624654_149.jpg,masks/rellis3d/00000/frame000014-1581624654_149.png,1.00000000
rellis3d/00000/frame000016-1581624654_350,rellis3d,train,train,00000/frame000016-1581624654_350,images/rellis3d/00000/frame000016-1581624654_350.jpg,masks/rellis3d/00000/frame000016-1581624654_350.png,1.00000000
rellis3d/00000/frame000018-1581624654_549,rellis3d,train,train,00000/frame000018-1581624654_549,images/rellis3d/00000/frame000018-1581624654_549.jpg,masks/rellis3d/00000/frame000018-1581624654_549.png,1.00000000
rellis3d/00000/frame000020-1581624654_750,rellis3d,train,train,00000/frame000020-1581624654_750,images/rellis3d/00000/frame000020-1581624654_750.jpg,masks/rellis3d/00000/frame000020-1581624654_750.png,1.00000000
rellis3d/00000/frame000022-1581624654_949,rellis3d,train,train,00000/frame000022-1581624654_949,images/rellis3d/00000/frame000022-1581624654_949.jpg,masks/rellis3d/00000/frame000022-1581624654_949.png,1.00000000
rellis3d/00000/frame000024-1581624655_149,rellis3d,train,train,00000/frame000024-1581624655_149,images/rellis3d/00000/frame000024-1581624655_149.jpg,masks/rellis3d/00000/frame000024-1581624655_149.png,1.00000000
rellis3d/00000/frame000026-1581624655_350,rellis3d,train,train,00000/frame000026-1581624655_350,images/rellis3d/00000/frame000026-1581624655_350.jpg,masks/rellis3d/00000/frame000026-1581624655_350.png,1.00000000
rellis3d/00000/frame000028-1581624655_549,rellis3d,train,train,00000/frame000028-1581624655_549,images/rellis3d/00000/frame000028-1581624655_549.jpg,masks/rellis3d/00000/frame000028-1581624655_549.png,1.00000000
