dataset,raw_id,class_name,rgb,pixel_count,pixel_ratio,pixel_percent,image_presence_count,mask_count
rugd,0,mulch,"153,76,0",394840454,0.14032373434420514,14.032373434420514,6749,7436
rugd,3,grass,"0,102,0",637394675,0.22652593000794943,22.652593000794944,6798,7436
rugd,4,tree,"0,255,0",1090201900,0.38745067848885545,38.74506784888555,7408,7436
rugd,6,gravel,"255,128,0",194697257,0.06919414130957674,6.919414130957674,3595,7436
rugd,7,building,"255,0,0",40291592,0.014319370254075084,1.4319370254075083,2407,7436
rugd,10,asphalt,"64,64,64",39852186,0.014163208213968501,1.4163208213968501,1009,7436
rugd,11,water,"0,128,255",8890914,0.003159773122470309,0.3159773122470309,774,7436
rugd,12,sky,"0,0,255",217901878,0.07744091298602195,7.744091298602195,7035,7436
rugd,14,sign,"0,102,102",203393,7.228455192555046e-05,0.007228455192555046,664,7436
rugd,17,bush,"255,153,204",130107498,0.04623936022913499,4.623936022913499,2958,7436
rugd,19,person,"204,153,255",221095,7.857572781747445e-05,0.007857572781747445,149,7436
rugd,20,rock-bed,"102,102,0",59179558,0.021032030763999378,2.1032030763999376,564,7436
