target_id,target_class,pixel_count,pixel_percent_all,pixel_percent_trainable
1,grass,719207346,22.251797483821154,31.176101203249104
2,tree,1090201900,33.73012251640299,47.25792214916345
4,water,8890914,0.2750789725305034,0.3854021183112113
5,sky,217901878,6.741739343413636,9.445580664169189
8,asphalt,39852186,1.233000159260849,1.7275070823688543
9,building,40291592,1.2465950889839055,1.7465543932750958
11,person,221095,0.006840532416760713,0.009583995677836639
13,bush,130107498,4.025439551923967,5.639881944350344
16,puddle,1064853,0.032945844390804384,0.046159101515327705
18,rubble,59179558,1.8309762089082555,2.5653073479195942
255,ignore,925212636,28.62546429794717,
