sample_id,status,details
00000_frame000000-1581624652_750,ok,
00000_frame000002-1581624652_949,ok,
00000_frame000004-1581624653_150,ok,
00000_frame000006-1581624653_349,ok,
00000_frame000008-1581624653_549,ok,
00000_frame000010-1581624653_749,ok,
00000_frame000012-1581624653_949,ok,
00000_frame000014-1581624654_149,ok,
00000_frame000016-1581624654_350,ok,
00000_frame000018-1581624654_549,ok,
00000_frame000020-1581624654_750,ok,
00000_frame000022-1581624654_949,ok,
00000_frame000024-1581624655_149,ok,
00000_frame000026-1581624655_350,ok,
00000_frame000028-1581624655_549,ok,
00000_frame000030-1581624655_749,ok,
00000_frame000032-1581624655_950,ok,
00000_frame000034-1581624656_149,ok,
00000_frame000036-1581624656_349,ok,
00000_frame000038-1581624656_549,ok,
00000_frame000040-1581624656_750,ok,
00000_frame000042-1581624656_950,ok,
00000_frame000044-1581624657_149,ok,
00000_frame000046-1581624657_349,ok,
00000_frame000048-1581624657_549,ok,
00000_frame000050-1581624657_750,ok,
00000_frame000052-1581624657_950,ok,
00000_frame000054-1581624658_150,ok,
00000_frame000056-1581624658_349,ok,
00000_frame000058-1581624658_549,ok,
00000_frame000060-1581624658_749,ok,
00000_frame000062-1581624658_949,ok,
00000_frame000064-1581624659_149,ok,
00000_frame000066-1581624659_349,ok,
00000_frame000068-1581624659_550,ok,
00000_frame000070-1581624659_750,ok,
00000_frame000072-1581624659_950,ok,
00000_frame000074-1581624660_150,ok,
00000_frame000076-1581624660_350,ok,
00000_frame000078-1581624660_550,ok,
00000_frame000080-1581624660_749,ok,
00000_frame000082-1581624660_950,ok,
00000_frame000084-1581624661_150,ok,
00000_frame000086-1581624661_349,ok,
00000_frame000088-1581624661_550,ok,
00000_frame000090-1581624661_749,ok,
00000_frame000092-1581624661_950,ok,
00000_frame000094-1581624662_150,ok,
00000_frame000096-1581624662_349,ok,
00000_frame000098-1581624662_549,ok,
00000_frame000100-1581624662_749,ok,
00000_frame000102-1581624662_950,ok,
00000_frame000104-1581624663_149,ok,
00000_frame000106-1581624663_349,ok,
00000_frame000108-1581624663_550,ok,
