sequence,raw_id,pixel_count,image_presence_count
00000,3,892731094,1200
00000,4,911942043,1200
00000,5,42726,4
00000,6,12,1
00000,7,420659417,1190
00000,8,157184,226
00000,9,1651339,263
00000,12,1748504,453
00000,17,4095587,171
00000,18,4780106,656
00000,19,392410993,1148
00000,27,1531,2
00000,31,60375051,561
00000,33,74136821,1184
00000,34,67592,38
00001,3,987704037,1160
00001,4,259209825,1016
00001,5,94515,246
00001,6,14,1
00001,7,854121443,1161
00001,8,5,1
00001,9,330,2
00001,10,503,2
00001,15,985193,94
00001,17,816010,78
00001,19,461051929,1161
00001,23,11198432,350
00001,27,13515616,528
00001,31,14187674,449
00001,33,66160148,861
00001,34,5898326,313
00002,0,1379,71
00002,1,13907,32
00002,3,1554315533,2073
00002,4,295039780,1828
00002,5,2364100,1278
00002,6,11911961,83
00002,7,1606703264,2016
00002,8,3553646,1152
00002,9,3127717,843
00002,10,8864622,606
00002,12,1543463,876
00002,17,588765,297
00002,18,669,1
00002,19,1064807597,2010
00002,23,209802130,1738
00002,27,10193400,1491
00002,31,812090,35
00002,33,4851977,289
00003,3,739707660,900
00003,4,284125418,900
00003,5,93237,211
00003,7,676205382,900
00003,8,1537819,382
00003,15,1959591,79
00003,17,3593294,192
00003,19,286778862,900
00003,23,1609040,314
00003,27,17920703,157
00003,31,15903589,369
00003,33,35462380,683
00003,34,8703025,370
00004,0,405,18
00004,3,650985068,899
00004,4,253462817,899
00004,5,382283,255
00004,7,696643277,899
00004,15,1742523,147
00004,19,301025326,899
00004,23,1858670,298
00004,27,10465412,100
00004,31,9105071,221
00004,33,133516908,844
00004,34,12108240,231
