split,class_id,class_name,pixel_count,image_count_containing_class,percentage_of_all_pixels,percentage_excluding_ignore
train,0,paved_low_cost,35882287,689,1.9842,2.1624
train,1,natural_low_cost,595771262,4471,32.9451,35.9028
train,2,medium_cost,251950153,3818,13.9324,15.1832
train,3,high_cost_or_obstacle,775795708,4778,42.9002,46.7516
train,255,ignore,148974190,4545,8.238,
val,0,paved_low_cost,10849095,211,3.9115,4.1779
val,1,natural_low_cost,74946138,718,27.0205,28.8612
val,2,medium_cost,46583098,660,16.7947,17.9388
val,3,high_cost_or_obstacle,127299057,733,45.8955,49.022
val,255,ignore,17689812,717,6.3778,
test,0,paved_low_cost,9756459,428,1.3401,1.4429
test,1,natural_low_cost,166317288,1754,22.8445,24.5971
test,2,medium_cost,192175382,1677,26.3962,28.4213
test,3,high_cost_or_obstacle,307918169,1921,42.294,45.5388
test,255,ignore,51874302,1842,7.1252,
