sample_id,status,details
creek_00001,ok,
creek_00006,ok,
creek_00011,ok,
creek_00016,ok,
creek_00021,ok,
creek_00026,ok,
creek_00031,ok,
creek_00036,ok,
creek_00041,ok,
creek_00046,ok,
creek_00051,ok,
creek_00056,ok,
creek_00061,ok,
creek_00066,ok,
creek_00071,ok,
creek_00076,ok,
creek_00081,ok,
creek_00086,ok,
creek_00091,ok,
creek_00096,ok,
creek_00101,ok,
creek_00106,ok,
creek_00111,ok,
creek_00116,ok,
creek_00121,ok,
creek_00126,ok,
creek_00131,ok,
creek_00136,ok,
creek_00141,ok,
creek_00146,ok,
creek_00151,ok,
creek_00156,ok,
creek_00161,ok,
creek_00166,ok,
creek_00171,ok,
creek_00176,ok,
creek_00181,ok,
creek_00186,ok,
creek_00191,ok,
creek_00196,ok,
creek_00201,ok,
creek_00206,ok,
creek_00211,ok,
creek_00216,ok,
creek_00221,ok,
creek_00226,ok,
creek_00231,ok,
creek_00236,ok,
creek_00241,ok,
creek_00246,ok,
creek_00251,ok,
creek_00256,ok,
creek_00261,ok,
creek_00266,ok,
creek_00271,ok,
creek_00276,ok,
creek_00281,ok,
creek_00286,ok,
creek_00291,ok,
creek_00296,ok,
creek_00301,ok,
creek_00306,ok,
creek_00311,ok,
creek_00316,ok,
creek_00321,ok,
creek_00326,ok,
creek_00331,ok,
creek_00336,ok,
creek_00341,ok,
creek_00346,ok,
creek_00351,ok,
creek_00356,ok,
creek_00361,ok,
creek_00366,ok,
creek_00371,ok,
creek_00376,ok,
creek_00381,ok,
creek_00386,ok,
creek_00391,ok,
creek_00396,ok,
creek_00401,ok,
creek_00406,ok,
creek_00411,ok,
creek_00416,ok,
creek_00421,ok,
creek_00426,ok,
creek_00431,ok,
creek_00436,ok,
creek_00441,ok,
creek_00446,ok,
creek_00451,ok,
creek_00456,ok,
creek_00461,ok,
creek_00466,ok,
creek_00471,ok,
creek_00476,ok,
creek_00481,ok,
creek_00486,ok,
creek_00491,ok,
creek_00496,ok,
creek_00501,ok,
creek_00506,ok,
creek_00511,ok,
creek_00516,ok,
creek_00521,ok,
creek_00526,ok,
creek_00531,ok,
creek_00536,ok,
creek_00541,ok,
creek_00546,ok,
creek_00551,ok,
creek_00556,ok,
creek_00561,ok,
creek_00566,ok,
creek_00571,ok,
creek_00576,ok,
creek_00581,ok,
creek_00586,ok,
creek_00591,ok,
creek_00596,ok,
creek_00601,ok,
creek_00606,ok,
creek_00611,ok,
creek_00616,ok,
creek_00621,ok,
creek_00626,ok,
creek_00631,ok,
creek_00636,ok,
creek_00641,ok,
creek_00646,ok,
creek_00651,ok,
creek_00656,ok,
creek_00661,ok,
creek_00666,ok,
creek_00671,ok,
creek_00676,ok,
creek_00681,ok,
creek_00686,ok,
creek_00691,ok,
creek_00696,ok,
creek_00701,ok,
creek_00706,ok,
creek_00711,ok,
creek_00716,ok,
creek_00721,ok,
creek_00726,ok,
creek_00731,ok,
creek_00736,ok,
creek_00741,ok,
creek_00746,ok,
creek_00751,ok,
creek_00756,ok,
creek_00761,ok,
creek_00766,ok,
creek_00771,ok,
creek_00776,ok,
creek_00781,ok,
creek_00786,ok,
creek_00791,ok,
creek_00796,ok,
creek_00801,ok,
creek_00806,ok,
creek_00811,ok,
creek_00816,ok,
creek_00821,ok,
creek_00826,ok,
creek_00831,ok,
creek_00836,ok,
creek_00841,ok,
creek_00846,ok,
creek_00851,ok,
creek_00856,ok,
creek_00861,ok,
creek_00866,ok,
creek_00871,ok,
creek_00876,ok,
creek_00881,ok,
creek_00886,ok,
creek_00891,ok,
creek_00896,ok,
creek_00901,ok,
creek_00906,ok,
creek_00911,ok,
creek_00916,ok,
creek_00921,ok,
creek_00926,ok,
creek_00931,ok,
creek_00936,ok,
creek_00941,ok,
creek_00946,ok,
creek_00951,ok,
creek_00956,ok,
creek_00961,ok,
creek_00966,ok,
creek_00971,ok,
creek_00976,ok,
creek_00981,ok,
creek_00986,ok,
creek_00991,ok,
creek_00996,ok,
creek_01001,ok,
creek_01006,ok,
creek_01011,ok,
creek_01016,ok,
creek_01021,ok,
creek_01026,ok,
creek_01031,ok,
creek_01036,ok,
creek_01041,ok,
creek_01046,ok,
creek_01051,ok,
creek_01056,ok,
creek_01061,ok,
creek_01066,ok,
creek_01071,ok,
creek_01076,ok,
creek_01081,ok,
creek_01086,ok,
creek_01091,ok,
creek_01096,ok,
creek_01101,ok,
creek_01106,ok,
creek_01111,ok,
creek_01116,ok,
creek_01121,ok,
creek_01126,ok,
creek_01131,ok,
