dataset,split,sample_id,source_split,source_sample_name,image_filename,mask_filename,image_relpath,mask_relpath,width,height,source_encoding,source_image,source_mask
YCOR,train,ycor_train_000000,train,iid000000,ycor_train_000000.jpg,ycor_train_000000.png,images/train/ycor_train_000000.jpg,masks/train/ycor_train_000000.png,1024,544,rgb_palette,train/iid000000/rgb.jpg,train/iid000000/labels.png
YCOR,train,ycor_train_000001,train,iid000001,ycor_train_000001.jpg,ycor_train_000001.png,images/train/ycor_train_000001.jpg,masks/train/ycor_train_000001.png,1024,544,rgb_palette,train/iid000001/rgb.jpg,train/iid000001/labels.png
YCOR,train,ycor_train_000002,train,iid000002,ycor_train_000002.jpg,ycor_train_000002.png,images/train/ycor_train_000002.jpg,masks/train/ycor_train_000002.png,1024,544,rgb_palette,train/iid000002/rgb.jpg,train/iid000002/labels.png
YCOR,train,ycor_train_000003,train,iid000003,ycor_train_000003.jpg,ycor_train_000003.png,images/train/ycor_train_000003.jpg,masks/train/ycor_train_000003.png,1024,544,rgb_palette,train/iid000003/rgb.jpg,train/iid000003/labels.png
YCOR,train,ycor_train_000004,train,iid000004,ycor_train_000004.jpg,ycor_train_000004.png,images/train/ycor_train_000004.jpg,masks/train/ycor_train_000004.png,1024,544,rgb_palette,train/iid000004/rgb.jpg,train/iid000004/labels.png
YCOR,train,ycor_train_000005,train,iid000005,ycor_train_000005.jpg,ycor_train_000005.png,images/train/ycor_train_000005.jpg,masks/train/ycor_train_000005.png,1024,544,rgb_palette,train/iid000005/rgb.jpg,train/iid000005/labels.png
YCOR,train,ycor_train_000006,train,iid000006,ycor_train_000006.jpg,ycor_train_000006.png,images/train/ycor_train_000006.jpg,masks/train/ycor_train_000006.png,1024,544,rgb_palette,train/iid000006/rgb.jpg,train/iid000006/labels.png
YCOR,train,ycor_train_000007,train,iid000007,ycor_train_000007.jpg,ycor_train_000007.png,images/train/ycor_train_000007.jpg,masks/train/ycor_train_000007.png,1024,544,rgb_palette,train/iid000007/rgb.jpg,train/iid000007/labels.png
YCOR,train,ycor_train_000008,train,iid000008,ycor_train_000008.jpg,ycor_train_000008.png,images/train/ycor_train_000008.jpg,masks/train/ycor_train_000008.png,1024,544,rgb_palette,train/iid000008/rgb.jpg,train/iid000008/labels.png
YCOR,train,ycor_train_000009,train,iid000009,ycor_train_000009.jpg,ycor_train_000009.png,images/train/ycor_train_000009.jpg,masks/train/ycor_train_000009.png,1024,544,rgb_palette,train/iid000009/rgb.jpg,train/iid000009/labels.png
YCOR,train,ycor_train_000010,train,iid000010,ycor_train_000010.jpg,ycor_train_000010.png,images/train/ycor_train_000010.jpg,masks/train/ycor_train_000010.png,1024,544,rgb_palette,train/iid000010/rgb.jpg,train/iid000010/labels.png
YCOR,train,ycor_train_000011,train,iid000011,ycor_train_000011.jpg,ycor_train_000011.png,images/train/ycor_train_000011.jpg,masks/train/ycor_train_000011.png,1024,544,rgb_palette,train/iid000011/rgb.jpg,train/iid000011/labels.png
YCOR,train,ycor_train_000012,train,iid000012,ycor_train_000012.jpg,ycor_train_000012.png,images/train/ycor_train_000012.jpg,masks/train/ycor_train_000012.png,1024,544,rgb_palette,train/iid000012/rgb.jpg,train/iid000012/labels.png
YCOR,train,ycor_train_000013,train,iid000013,ycor_train_000013.jpg,ycor_train_000013.png,images/train/ycor_train_000013.jpg,masks/train/ycor_train_000013.png,1024,544,rgb_palette,train/iid000013/rgb.jpg,train/iid000013/labels.png
YCOR,train,ycor_train_000014,train,iid000014,ycor_train_000014.jpg,ycor_train_000014.png,images/train/ycor_train_000014.jpg,masks/train/ycor_train_000014.png,1024,544,rgb_palette,train/iid000014/rgb.jpg,train/iid000014/labels.png
YCOR,train,ycor_train_000015,train,iid000015,ycor_train_000015.jpg,ycor_train_000015.png,images/train/ycor_train_000015.jpg,masks/train/ycor_train_000015.png,1024,544,rgb_palette,train/iid000015/rgb.jpg,train/iid000015/labels.png
YCOR,train,ycor_train_000016,train,iid000016,ycor_train_000016.jpg,ycor_train_000016.png,images/train/ycor_train_000016.jpg,masks/train/ycor_train_000016.png,1024,544,rgb_palette,train/iid000016/rgb.jpg,train/iid000016/labels.png
YCOR,train,ycor_train_000017,train,iid000017,ycor_train_000017.jpg,ycor_train_000017.png,images/train/ycor_train_000017.jpg,masks/train/ycor_train_000017.png,1024,544,rgb_palette,train/iid000017/rgb.jpg,train/iid000017/labels.png
YCOR,train,ycor_train_000018,train,iid000018,ycor_train_000018.jpg,ycor_train_000018.png,images/train/ycor_train_000018.jpg,masks/train/ycor_train_000018.png,1024,544,rgb_palette,train/iid000018/rgb.jpg,train/iid000018/labels.png
YCOR,train,ycor_train_000019,train,iid000019,ycor_train_000019.jpg,ycor_train_000019.png,images/train/ycor_train_000019.jpg,masks/train/ycor_train_000019.png,1024,544,rgb_palette,train/iid000019/rgb.jpg,train/iid000019/labels.png
YCOR,train,ycor_train_000020,train,iid000020,ycor_train_000020.jpg,ycor_train_000020.png,images/train/ycor_train_000020.jpg,masks/train/ycor_train_000020.png,1024,544,rgb_palette,train/iid000020/rgb.jpg,train/iid000020/labels.png
YCOR,train,ycor_train_000021,train,iid000021,ycor_train_000021.jpg,ycor_train_000021.png,images/train/ycor_train_000021.jpg,masks/train/ycor_train_000021.png,1024,544,rgb_palette,train/iid000021/rgb.jpg,train/iid000021/labels.png
YCOR,train,ycor_train_000022,train,iid000022,ycor_train_000022.jpg,ycor_train_000022.png,images/train/ycor_train_000022.jpg,masks/train/ycor_train_000022.png,1024,544,rgb_palette,train/iid000022/rgb.jpg,train/iid000022/labels.png
YCOR,train,ycor_train_000023,train,iid000033,ycor_train_000023.jpg,ycor_train_000023.png,images/train/ycor_train_000023.jpg,masks/train/ycor_train_000023.png,1024,544,rgb_palette,train/iid000033/rgb.jpg,train/iid000033/labels.png
YCOR,train,ycor_train_000024,train,iid000034,ycor_train_000024.jpg,ycor_train_000024.png,images/train/ycor_train_000024.jpg,masks/train/ycor_train_000024.png,1024,544,rgb_palette,train/iid000034/rgb.jpg,train/iid000034/labels.png
YCOR,train,ycor_train_000025,train,iid000035,ycor_train_000025.jpg,ycor_train_000025.png,images/train/ycor_train_000025.jpg,masks/train/ycor_train_000025.png,1024,544,rgb_palette,train/iid000035/rgb.jpg,train/iid000035/labels.png
YCOR,train,ycor_train_000026,train,iid000051,ycor_train_000026.jpg,ycor_train_000026.png,images/train/ycor_train_000026.jpg,masks/train/ycor_train_000026.png,1024,544,rgb_palette,train/iid000051/rgb.jpg,train/iid000051/labels.png
YCOR,train,ycor_train_000027,train,iid000052,ycor_train_000027.jpg,ycor_train_000027.png,images/train/ycor_train_000027.jpg,masks/train/ycor_train_000027.png,1024,544,rgb_palette,train/iid000052/rgb.jpg,train/iid000052/labels.png
YCOR,train,ycor_train_000028,train,iid000053,ycor_train_000028.jpg,ycor_train_000028.png,images/train/ycor_train_000028.jpg,masks/train/ycor_train_000028.png,1024,544,rgb_palette,train/iid000053/rgb.jpg,train/iid000053/labels.png
YCOR,train,ycor_train_000029,train,iid000054,ycor_train_000029.jpg,ycor_train_000029.png,images/train/ycor_train_000029.jpg,masks/train/ycor_train_000029.png,1024,544,rgb_palette,train/iid000054/rgb.jpg,train/iid000054/labels.png
YCOR,train,ycor_train_000030,train,iid000055,ycor_train_000030.jpg,ycor_train_000030.png,images/train/ycor_train_000030.jpg,masks/train/ycor_train_000030.png,1024,544,rgb_palette,train/iid000055/rgb.jpg,train/iid000055/labels.png
YCOR,train,ycor_train_000031,train,iid000056,ycor_train_000031.jpg,ycor_train_000031.png,images/train/ycor_train_000031.jpg,masks/train/ycor_train_000031.png,1024,544,rgb_palette,train/iid000056/rgb.jpg,train/iid000056/labels.png
YCOR,train,ycor_train_000032,train,iid000057,ycor_train_000032.jpg,ycor_train_000032.png,images/train/ycor_train_000032.jpg,masks/train/ycor_train_000032.png,1024,544,rgb_palette,train/iid000057/rgb.jpg,train/iid000057/labels.png
YCOR,train,ycor_train_000033,train,iid000058,ycor_train_000033.jpg,ycor_train_000033.png,images/train/ycor_train_000033.jpg,masks/train/ycor_train_000033.png,1024,544,rgb_palette,train/iid000058/rgb.jpg,train/iid000058/labels.png
YCOR,train,ycor_train_000034,train,iid000059,ycor_train_000034.jpg,ycor_train_000034.png,images/train/ycor_train_000034.jpg,masks/train/ycor_train_000034.png,1024,544,rgb_palette,train/iid000059/rgb.jpg,train/iid000059/labels.png
YCOR,train,ycor_train_000035,train,iid000060,ycor_train_000035.jpg,ycor_train_000035.png,images/train/ycor_train_000035.jpg,masks/train/ycor_train_000035.png,1024,544,rgb_palette,train/iid000060/rgb.jpg,train/iid000060/labels.png
YCOR,train,ycor_train_000036,train,iid000061,ycor_train_000036.jpg,ycor_train_000036.png,images/train/ycor_train_000036.jpg,masks/train/ycor_train_000036.png,1024,544,rgb_palette,train/iid000061/rgb.jpg,train/iid000061/labels.png
YCOR,train,ycor_train_000037,train,iid000062,ycor_train_000037.jpg,ycor_train_000037.png,images/train/ycor_train_000037.jpg,masks/train/ycor_train_000037.png,1024,544,rgb_palette,train/iid000062/rgb.jpg,train/iid000062/labels.png
YCOR,train,ycor_train_000038,train,iid000063,ycor_train_000038.jpg,ycor_train_000038.png,images/train/ycor_train_000038.jpg,masks/train/ycor_train_000038.png,1024,544,rgb_palette,train/iid000063/rgb.jpg,train/iid000063/labels.png
YCOR,train,ycor_train_000039,train,iid000064,ycor_train_000039.jpg,ycor_train_000039.png,images/train/ycor_train_000039.jpg,masks/train/ycor_train_000039.png,1024,544,rgb_palette,train/iid000064/rgb.jpg,train/iid000064/labels.png
YCOR,train,ycor_train_000040,train,iid000065,ycor_train_000040.jpg,ycor_train_000040.png,images/train/ycor_train_000040.jpg,masks/train/ycor_train_000040.png,1024,544,rgb_palette,train/iid000065/rgb.jpg,train/iid000065/labels.png
YCOR,train,ycor_train_000041,train,iid000068,ycor_train_000041.jpg,ycor_train_000041.png,images/train/ycor_train_000041.jpg,masks/train/ycor_train_000041.png,1024,544,rgb_palette,train/iid000068/rgb.jpg,train/iid000068/labels.png
